dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,13.0,15.0,14.866666666666667,0.5074162634049248,0.8888888888888857,3.961669011933334
instance_0002,2.0,2.0,2.0,0.0,0.0,1.0471436568
instance_0003,8.818181818181818,12.0,10.498241943241943,0.8412808645959171,12.514650472983805,4.421900820600003
instance_0004,1.9047619047619047,2.857142857142857,2.5275706374235787,0.24457073788851014,27.783696073612038,2.9632534466333293
instance_0005,153.32142857142858,160.25,157.40287863985043,1.4595455017619434,11.511761502220356,40.80233340213333
instance_0006,448.4,691.0,550.2455555555556,65.11025558131855,20.369673580961564,120.83855624386673
instance_0007,341.6,392.25,366.1066666666667,14.771657001660735,6.664967070320794,93.64570549
instance_0008,149.83333333333334,161.8125,155.77446895424836,3.527840144158906,4.39765008331388,32.5945299003333
instance_0009,2.287878787878788,2.7454545454545456,2.510621639209206,0.10063346037190504,43.19860544775552,10.15914168803356
instance_0010,13.748031496062993,14.61344537815126,14.279414106005474,0.18122982388782988,16.543459345380043,34.013435625866684
instance_0011,12.216049382716049,12.97278911564626,12.562310024178668,0.19050872506238506,25.446231310512363,29.055037820466715
instance_0012,2.6923076923076925,3.489795918367347,3.147759689040293,0.18293491594059808,72.0199138751974,11.728409990866385
instance_0013,58.73770491803279,65.17543859649123,61.52963899324123,1.6463992233373752,47.580815306490685,114.21595824340002
instance_0014,89.57352941176471,100.53061224489795,93.24083066167292,2.8432290156443587,48.66723702836769,220.51301092733337
instance_0015,58.706896551724135,63.45283018867924,61.03328463453843,1.2066337598598544,59.12858458813472,101.4220341567668
instance_0016,81.5,85.0,84.6,1.04551587662544,0.47058823529412436,10.634043497799697
instance_0017,35.0,36.5,36.45,0.27386127875258304,0.13698630136985523,5.277654595233374
instance_0018,115.4,117.2,117.01333333333334,0.5144353002671193,0.159271899886235,22.637012960666834
instance_0019,172.0,202.0,196.93333333333334,10.4152849658346,2.508250825082506,21.2919810359
instance_0020,5.0,5.0,5.0,0.0,0.0,0.2072575550332355
