dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,8.0,13.5,9.703650793650793,1.2186078032888619,35.30899470899472,2.038335541333333
instance_0002,1.0,2.0,1.5,0.5085476277156078,25.0,0.496775425333333
instance_0003,7.5,9.6,8.219463036963036,0.5468809772850399,31.504474691974696,2.598333669566667
instance_0004,2.0,3.5,2.4825315425315426,0.31768628985868275,29.070527356241637,1.0361689856333347
instance_0005,137.33333333333334,170.125,144.69785538533503,5.592460750824323,18.654230163405085,91.70929708916665
instance_0006,537.0,655.0,600.15,42.19722780565992,13.147612156295226,333.67583228593344
instance_0007,359.75,384.0,371.98333333333335,5.596309333919948,5.16677289143828,242.86169415903333
instance_0008,124.375,141.05882352941177,133.94787028846628,4.277430530297322,17.793132264351122,66.2695225128995
instance_0009,2.765957446808511,3.235294117647059,2.976883940398947,0.1292851425100147,32.64968460635866,3.6464413401000155
instance_0010,15.451327433628318,15.923076923076923,15.735970364488095,0.12785844239402508,8.030564789666304,61.69565846343333
instance_0011,13.128378378378379,13.648854961832061,13.394126607396517,0.13505769737005766,20.509634377468746,47.795311695433945
instance_0012,5.555555555555555,9.4,6.457962962962963,0.8376868903205706,42.59588477366255,4.166428456899666
instance_0013,95.0625,103.73333333333333,99.1565522875817,2.5838578079658854,15.525172697579054,216.907723575667
instance_0014,151.15384615384616,165.5,157.84673382173384,4.023481829679581,13.099133548924328,483.81371129443323
instance_0015,129.2,144.0,134.8188888888889,3.717625857705419,9.717478812771123,187.87152012773294
instance_0016,73.0,85.0,78.72222222222223,2.790011375213128,7.385620915032672,30.340882748267664
instance_0017,29.666666666666668,36.5,32.35,2.02444354021286,11.369863013698627,11.037297017265761
instance_0018,110.0,115.6,112.74,1.4375745857711772,3.805460750853249,69.75926284639887
instance_0019,147.5,202.0,171.87777777777777,17.87493446834883,14.91199119911992,61.26064144203313
instance_0020,5.0,5.0,5.0,0.0,0.0,0.177996533333256
